B_kG,H_Oe,B_T,H_A_per_m
0.334,26.6,0.033400000000000006,2116.7482
0.475,37.8,0.0475,3008.0105999999996
0.659,52.4,0.0659,4169.8348
0.904,71.9,0.09040000000000001,5721.5863
1.25,99.3,0.125,7901.996099999999
1.71,136.0,0.171,10822.472
2.21,176.0,0.221,14005.552
3.51,279.0,0.351,22201.983
8.28,659.0,0.828,52441.243
13.6,1084.0,1.36,86261.468
21.6,1718.0,2.16,136713.286
32.4,2577.0,3.24,205069.929
46.1,3670.0,4.61,292047.58999999997
122.0,9711.0,12.200000000000001,772772.247
202.0,16044.0,20.200000000000003,1276733.388
394.0,31319.0,39.400000000000006,2492272.063
1112.0,88491.0,111.2,7041848.307
